nature,nat_hp,nat_attack,nat_defence,nat_speed,nat_special_attack,nat_special_defence
hardy,1,1,1,1,1,1
lonely,1,1.1,0.9,1,1,1
brave,1,1.1,1,0.9,1,1
adamant,1,1.1,1,1,0.9,1
naughty,1,1.1,1,1,1,0.9
bold,1,0.9,1.1,1,1,1
docile,1,1,1,1,1,1
relaxed,1,1,1.1,0.9,1,1
impish,1,1,1.1,1,0.9,1
lax,1,1,1.1,1,1,0.9
timid,1,0.9,1,1.1,1,1
hasty,1,1,0.9,1.1,1,1
serious,1,1,1,1,1,1
jolly,1,1,1,1.1,0.9,1
naïve,1,1,1,1.1,1,0.9
modest,1,0.9,1,1,1.1,1
mild,1,1,0.9,1,1.1,1
quiet,1,1,1,0.9,1.1,1
bashful,1,1,1,1,1,1
rash,1,1,1,1,1.1,0.9
calm,1,0.9,1,1,1,1.1
gentle,1,1,0.9,1,1,1.1
sassy,1,1,1,0.9,1,1.1
careful,1,1,1,1,0.9,1.1
quirky,1,1,1,1,1,1
